# Time, Reward, Input, RodPos, RodVel, ActPos, ActVel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.005944634413949282e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00
1.000000000000000021e-02,-2.616783024785196161e-03,-1.000000000000000000e+01,-1.154501510475069818e-03,8.514431239388793593e-02,3.000000000000000062e-03,-1.000000000000000056e-01
2.000000000000000042e-02,-2.488006324960887264e-03,-1.000000000000000000e+01,1.200809447239913671e-04,1.274582455199061160e-01,1.000000000000000021e-03,-2.000000000000000111e-01
2.999999999999999889e-02,-2.375089842130524969e-03,-1.000000000000000000e+01,1.265106523861931915e-03,1.145025579137940591e-01,0.000000000000000000e+00,-3.000000000000000444e-01
4.000000000000000083e-02,-2.442564826650429465e-03,1.000000000000000000e+01,5.776889790609931151e-04,-6.874175448009388345e-02,0.000000000000000000e+00,-2.000000000000000389e-01
5.000000000000000278e-02,-2.697989199840072905e-03,1.000000000000000000e+01,-1.942171689678825249e-03,-2.519860668739818399e-01,0.000000000000000000e+00,-1.000000000000000333e-01
5.999999999999999778e-02,-3.059131908261635262e-03,1.000000000000000000e+01,-5.309419706426456512e-03,-3.367248016747631523e-01,0.000000000000000000e+00,-2.775557561562891351e-17
7.000000000000000666e-02,-3.348411771256163457e-03,1.000000000000000000e+01,-7.865462680740429452e-03,-2.556042974313972316e-01,9.999999999999998040e-04,9.999999999999997780e-02
8.000000000000000167e-02,-3.407246350019426263e-03,1.000000000000000000e+01,-8.371622814681334984e-03,0.000000000000000000e+00,3.000000000000000062e-03,1.999999999999999833e-01
8.999999999999999667e-02,-2.960129015675347017e-03,-1.000000000000000000e+01,-4.407067699659637273e-03,3.964555115021697329e-01,4.000000000000000083e-03,9.999999999999997780e-02
1.000000000000000056e-01,-2.349559854641350941e-03,-1.000000000000000000e+01,1.527741391169418900e-03,5.934809090829056277e-01,4.000000000000000083e-03,-2.775557561562891351e-17
1.100000000000000006e-01,-1.820473434630983083e-03,-1.000000000000000000e+01,7.332993605937354435e-03,5.805252214767935293e-01,2.999999999999999629e-03,-1.000000000000000333e-01
1.199999999999999956e-01,-1.368357093594090544e-03,-1.000000000000000000e+01,1.300868894464416933e-02,5.675695338706814308e-01,9.999999999999991535e-04,-2.000000000000000389e-01
1.300000000000000044e-01,-1.098785966914104248e-03,9.998611450195312500e+00,1.685205938653044910e-02,3.843370441886279076e-01,0.000000000000000000e+00,-1.000138854980469061e-01
1.400000000000000133e-01,-9.695123429173571183e-04,9.999763488769531250e+00,1.886300684206394102e-02,2.010947455533491357e-01,0.000000000000000000e+00,-1.625061035159802714e-05
1.499999999999999944e-01,-9.584279499682282983e-04,9.999984741210937500e+00,1.904151247285765583e-02,1.785056307937146758e-02,9.998359680175779047e-04,9.998359680175777919e-02
1.600000000000000033e-01,-1.063570265703874711e-03,1.000000000000000000e+01,1.738757497971249108e-02,-1.653937493145164750e-01,2.999671936035155397e-03,1.999835968017577847e-01
1.700000000000000122e-01,-1.303123768444728421e-03,1.000000000000000000e+01,1.390119436262844677e-02,-3.486380617084043898e-01,5.999507904052733126e-03,2.999835968017577903e-01
1.799999999999999933e-01,-1.715420023326045575e-03,1.000000000000000000e+01,8.582370621605522887e-03,-5.318823741022923324e-01,8.000000000000000167e-03,3.999835968017577681e-01
1.900000000000000022e-01,-2.276955332203797235e-03,0.000000000000000000e+00,2.282546880582599774e-03,-6.299823741022922974e-01,8.000000000000000167e-03,3.999835968017577681e-01
