# Time, Reward, Input, RodPos, RodVel, ActPos, ActVel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.006281249999999818e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00
1.000000000000000021e-02,-1.154877345634032796e-03,-9.999539375305175781e+00,-1.154877345634032796e-03,8.514039043659669959e-02,3.000046062469482414e-03,-9.999539375305176170e-02
2.000000000000000042e-02,-9.371094312008269867e-04,2.412642478942871094e+00,-9.371094312008269867e-04,2.177679144332057837e-02,2.241356372833252023e-03,-7.586896896362305132e-02
2.999999999999999889e-02,-1.147273119909087520e-03,-1.149822235107421875e+00,-1.147273119909087520e-03,-2.101636887082605071e-02,1.367684459686279363e-03,-8.736719131469726507e-02
4.000000000000000083e-02,-2.625961690383140854e-03,9.999959945678710938e+00,-2.625961690383140854e-03,-1.478688570474053499e-01,1.494008541107177956e-03,1.263240814208985152e-02
5.000000000000000278e-02,-4.632411992178349369e-03,1.000000000000000000e+01,-4.632411992178349369e-03,-2.006450301795208724e-01,2.620332622528076354e-03,1.126324081420898571e-01
5.999999999999999778e-02,-6.178160513148220345e-03,1.000000000000000000e+01,-6.178160513148220345e-03,-1.545748520969870698e-01,4.746656703948975639e-03,2.126324081420898626e-01
7.000000000000000666e-02,-6.513834343334911313e-03,1.000000000000000000e+01,-6.513834343334911313e-03,-3.356738301866910024e-02,7.872980785369874945e-03,3.126324081420898682e-01
8.000000000000000167e-02,-3.789337832979603523e-03,-1.000000000000000000e+01,-3.789337832979603523e-03,2.724496510355307599e-01,8.000000000000000167e-03,2.126324081420898626e-01
8.999999999999999667e-02,6.203502771604221984e-04,-1.000000000000000000e+01,6.203502771604221984e-04,4.409688110140025374e-01,8.000000000000000167e-03,1.126324081420898571e-01
1.000000000000000056e-01,4.900481511239326848e-03,-1.000000000000000000e+01,4.900481511239326848e-03,4.280131234078904945e-01,8.000000000000000167e-03,1.263240814208985152e-02
1.100000000000000006e-01,9.051055869257111294e-03,-1.000000000000000000e+01,9.051055869257111294e-03,4.150574358017784515e-01,7.126324081420898522e-03,-8.736759185791015403e-02
