# Time, Reward, Input, RodPos, RodVel, ActPos, ActVel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.006281249999999818e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00
1.000000000000000021e-02,-2.651782722567521105e-03,-1.000000000000000000e+01,-1.495463126061120571e-03,5.108181239388793343e-02,3.000000000000000062e-03,-1.000000000000000056e-01
2.000000000000000042e-02,-2.564678529464252746e-03,-9.999871253967285156e+00,-6.426552371047464327e-04,8.528078889563740772e-02,1.000012874603271526e-03,-1.999987125396728571e-01
2.999999999999999889e-02,-2.482585418157316325e-03,-8.806315422058105469e+00,1.744501469646013350e-04,8.171053840693477677e-02,0.000000000000000000e+00,-2.880618667602539151e-01
4.000000000000000083e-02,-2.582024357319464853e-03,9.679792404174804688e+00,-8.136237373350943200e-04,-9.880738842996956983e-02,0.000000000000000000e+00,-1.912639427185058860e-01
5.000000000000000278e-02,-2.847639616950371766e-03,1.000000000000000000e+01,-3.363279668236017136e-03,-2.549655930900922574e-01,0.000000000000000000e+00,-9.126394271850588047e-02
5.999999999999999778e-02,-3.208436335969629127e-03,1.000000000000000000e+01,-6.643060792736374051e-03,-3.279781124500357192e-01,8.736057281494124919e-05,8.736057281494125082e-03
7.000000000000000666e-02,-3.551904926017788316e-03,1.000000000000000000e+01,-9.597860079182273310e-03,0.000000000000000000e+00,1.174721145629882601e-03,1.087360572814941306e-01
8.000000000000000167e-02,-3.210800216841996381e-03,-1.000000000000000000e+01,-6.663923415538355877e-03,2.933936663643917364e-01,1.262081718444823782e-03,8.736057281494125082e-03
8.999999999999999667e-02,-2.704421138077661973e-03,-7.200294494628906250e+00,-2.004049246935200521e-03,4.659874168603155287e-01,6.294128417968743779e-04,-6.326688766479493520e-02
1.000000000000000056e-01,-2.322550296684085334e-03,5.340099334716796875e+00,1.807155129790424027e-03,3.811204376725624288e-01,5.307538986206047048e-04,-9.865894317626966448e-03
1.100000000000000006e-01,-2.007660059284200899e-03,-6.526809692382812500e+00,5.193080229899746034e-03,3.385925100109322128e-01,0.000000000000000000e+00,-7.513399124145508923e-02
1.199999999999999956e-01,-1.861342160849306952e-03,8.706161499023437500e+00,6.856725195584576459e-03,1.663644965684830668e-01,1.192762374877928737e-04,1.192762374877928688e-02
1.300000000000000044e-01,-1.875739916667008757e-03,9.973459243774414062e+00,6.690186831769769256e-03,-1.665383638148074108e-02,1.235898399353027241e-03,1.116622161865234303e-01
1.400000000000000133e-01,-2.052346835706284588e-03,9.930002212524414062e+00,4.697165257499785057e-03,-1.993021574269984719e-01,3.345520782470703079e-03,2.109622383117675803e-01
1.499999999999999944e-01,-2.413585944377246318e-03,9.999538421630859375e+00,8.717398600637769890e-04,-3.825425397436008068e-01,6.455097007751465187e-03,3.109576225280761830e-01
