# Time, Reward, Input, RodPos, RodVel, ActPos, ActVel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.006281249999999818e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00
1.000000000000000021e-02,-2.517099373938879499e-03,1.000000000000000000e+01,-2.517099373938879499e-03,-5.108181239388796813e-02,5.000000000000000104e-03,1.000000000000000056e-01
2.000000000000000042e-02,-3.193945526262068763e-03,1.000000000000000000e+01,-3.193945526262068763e-03,-6.768461523231891763e-02,7.000000000000000146e-03,2.000000000000000111e-01
2.999999999999999889e-02,-3.588256546075336163e-03,1.000000000000000000e+01,-3.588256546075336163e-03,-3.943110198132673827e-02,8.000000000000000167e-03,3.000000000000000444e-01
4.000000000000000083e-02,-1.741982592770253231e-03,-1.000000000000000000e+01,-1.741982592770253231e-03,1.846273953305082871e-01,8.000000000000000167e-03,2.000000000000000389e-01
5.000000000000000278e-02,1.092284591603886980e-03,-1.000000000000000000e+01,1.092284591603886980e-03,2.834267184374140158e-01,8.000000000000000167e-03,1.000000000000000333e-01
5.999999999999999778e-02,3.796994899916906335e-03,-1.000000000000000000e+01,3.796994899916906335e-03,2.704710308313019729e-01,8.000000000000000167e-03,2.775557561562891351e-17
7.000000000000000666e-02,6.372148332168805704e-03,-1.000000000000000000e+01,6.372148332168805704e-03,2.575153432251899299e-01,7.000000000000000146e-03,-9.999999999999997780e-02
8.000000000000000167e-02,8.817743183160762013e-03,-9.999979972839355469e+00,8.817743183160762013e-03,2.445594850991956448e-01,5.000002002716065139e-03,-1.999997997283935458e-01
8.999999999999999667e-02,1.108916024610965591e-02,-9.475937843322753906e+00,1.108916024610965591e-02,2.271417062948893895e-01,2.052410221099853875e-03,-2.947591781616211160e-01
1.000000000000000056e-01,1.295258135930527597e-02,-6.729798316955566406e+00,1.295258135930527597e-02,1.863421113195619927e-01,0.000000000000000000e+00,-3.620571613311767689e-01
1.100000000000000006e-01,1.298536767131307224e-02,9.978761672973632812e+00,1.298536767131307224e-02,3.278631200779702493e-03,0.000000000000000000e+00,-2.622695446014404186e-01
1.199999999999999956e-01,1.162746778627637978e-02,4.811668395996093750e+00,1.162746778627637978e-02,-1.357899885036692178e-01,0.000000000000000000e+00,-2.141528606414794811e-01
1.300000000000000044e-01,8.480341336252686033e-03,9.492431640625000000e+00,8.480341336252686033e-03,-3.147126450023693400e-01,0.000000000000000000e+00,-1.192285442352294805e-01
1.400000000000000133e-01,3.501615916907086304e-03,9.990085601806640625e+00,3.501615916907086304e-03,-4.978725419345599867e-01,0.000000000000000000e+00,-1.932768821716307484e-02
1.499999999999999944e-01,-3.309552626377392989e-03,1.000000000000000000e+01,-3.309552626377392989e-03,-6.811168543284479293e-01,8.067231178283693158e-04,8.067231178283693072e-02
1.600000000000000033e-01,-9.662454565899220721e-03,1.000000000000000000e+01,-9.662454565899220721e-03,0.000000000000000000e+00,2.613446235656738652e-03,1.806723117828369363e-01
1.700000000000000122e-01,-5.129817262726221044e-03,1.000000000000000000e+01,-5.129817262726221044e-03,4.532637303172999954e-01,5.420169353485108227e-03,2.806723117828369141e-01
1.799999999999999933e-01,2.578752545689440810e-03,-9.998020172119140625e+00,2.578752545689440810e-03,7.708569808415661750e-01,7.227090454101563893e-03,1.806921100616455111e-01
1.900000000000000022e-01,1.015776547804398203e-02,-1.000000000000000000e+01,1.015776547804398203e-02,7.579012932354540766e-01,8.000000000000000167e-03,8.069211006164550559e-02
2.000000000000000111e-01,1.760722153433740000e-02,-1.000000000000000000e+01,1.760722153433740000e-02,7.449456056293419781e-01,7.806921100616454924e-03,-1.930788993835449996e-02
2.099999999999999922e-01,2.492712071456969908e-02,-1.000000000000000000e+01,2.492712071456969908e-02,7.319899180232298797e-01,6.613842201232909661e-03,-1.193078899383545055e-01
