# Time, Reward, Input, RodPos, RodVel, ActPos, ActVel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.006281249999999818e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00
1.000000000000000021e-02,-2.651782722567521105e-03,-1.000000000000000000e+01,-1.495463126061120571e-03,5.108181239388793343e-02,3.000000000000000062e-03,-1.000000000000000056e-01
2.000000000000000042e-02,-2.565246510641656322e-03,-9.934013366699218750e+00,-6.482626616319001273e-04,8.472004644292203956e-02,1.006598663330077973e-03,-1.993401336669922141e-01
2.999999999999999889e-02,-2.645678795371787361e-03,1.000000000000000000e+01,-1.436162331299433575e-03,-7.878996696675334699e-02,1.319732666015590444e-05,-9.934013366699220859e-02
4.000000000000000083e-02,-2.871802448446437658e-03,1.000000000000000000e+01,-3.589200856575918992e-03,-2.153038525276485537e-01,1.979598999023387361e-05,6.598663330077969569e-04
5.000000000000000278e-02,-3.181494175975797291e-03,1.000000000000000000e+01,-6.404735403827545998e-03,-2.815534547251626329e-01,1.026394653320311830e-03,1.006598663330078025e-01
5.999999999999999778e-02,-3.478239780988046093e-03,1.000000000000000000e+01,-8.976603674576292061e-03,0.000000000000000000e+00,3.032993316650389824e-03,2.006598663330078081e-01
7.000000000000000666e-02,-3.357489639395220323e-03,1.000000000000000000e+01,-7.943849021231057933e-03,1.032754653345234336e-01,6.039591979980467838e-03,3.006598663330077859e-01
8.000000000000000167e-02,-2.972077417419974072e-03,-1.000000000000000000e+01,-4.516762719552357488e-03,3.427086301678700653e-01,8.000000000000000167e-03,2.006598663330077803e-01
8.999999999999999667e-02,-2.481661132265595201e-03,-1.000000000000000000e+01,1.837262306222386954e-04,4.700488950174596114e-01,8.000000000000000167e-03,1.006598663330077748e-01
1.000000000000000056e-01,-2.047140989208252014e-03,-9.999994277954101562e+00,4.754657817536050816e-03,4.570931586913812295e-01,8.000000000000000167e-03,6.599235534667513559e-04
1.100000000000000006e-01,-1.664964675889679625e-03,-9.999868392944335938e+00,9.196021322796482655e-03,4.441363505260431110e-01,7.006612396240233936e-03,-9.933876037597660913e-02
1.199999999999999956e-01,-1.331679723077752080e-03,-9.999822616577148438e+00,1.350781284880622421e-02,4.311791526009741693e-01,5.013242530822753160e-03,-1.993369865417480846e-01
1.300000000000000044e-01,-1.044018335010985822e-03,-9.984496116638183594e+00,1.768872743126656891e-02,4.180914582460344420e-01,2.021423053741454052e-03,-2.991819477081298917e-01
1.400000000000000133e-01,-8.976288200307770389e-04,9.972436904907226562e+00,2.003954573056715427e-02,2.350818299300586334e-01,2.684726715087779048e-05,-1.994575786590576105e-01
1.499999999999999944e-01,-8.668360213815410210e-04,1.000000000000000000e+01,2.055792090592886007e-02,5.183751753617069080e-02,0.000000000000000000e+00,-9.945757865905760498e-02
1.600000000000000033e-01,-9.459405809090047504e-04,1.000000000000000000e+01,1.924385295735168630e-02,-1.314067948577172518e-01,5.424213409424005557e-06,5.424213409424005761e-04
1.700000000000000122e-01,-1.149390227273720160e-03,1.000000000000000000e+01,1.609734188483563644e-02,-3.146511072516051666e-01,1.010848426818848015e-03,1.005424213409424061e-01
1.799999999999999933e-01,-1.511779775951065108e-03,1.000000000000000000e+01,1.111838768838070528e-02,-4.978954196454931092e-01,3.016272640228272271e-03,2.005424213409424117e-01
1.900000000000000022e-01,-2.087851129231242837e-03,1.000000000000000000e+01,4.306990367986894552e-03,-6.811397320393810517e-01,6.021696853637696981e-03,3.005424213409424450e-01
2.000000000000000111e-01,-2.952493276219280132e-03,1.000000000000000000e+01,-4.336850076345795738e-03,-8.643840444332689943e-01,8.000000000000000167e-03,4.005424213409424228e-01
