Wall time,Step,Value
1627488888.0208306,380,4484.9248046875
1627489100.2074578,860,3366.698486328125
1627489126.6308684,920,3411.63623046875
1627489356.9159296,1440,2393.408203125
1627489560.7291732,1900,2762.4248046875
1627490126.7982633,3180,4260.69189453125
1627490206.7390246,3360,2004.9833984375
1627490754.9225168,4600,3554.827392578125
1627490799.373648,4700,4201.16357421875
1627490988.860985,5120,1440.0
1627491153.9888208,5480,1440.0
1627491477.4271312,6180,1440.0
1627491495.7334428,6220,1440.0
1627491568.480807,6380,1440.0
1627492512.2945666,8440,1440.0
1627492871.8467102,9220,1440.0
1627493000.2080975,9500,1440.0
1627493569.3152876,10740,1440.0
1627493814.639404,11280,1440.0
1627493962.2074456,11600,1440.0
1627494026.2186048,11740,1440.0
1627494035.4609206,11760,1440.0
1627494465.144995,12700,1440.0
1627494583.8157475,12960,1440.0
1627494710.4222977,13240,1440.0
1627494802.1264448,13440,1440.0
1627495190.971995,14300,1440.0
1627495264.2276413,14460,1440.0
1627495653.5006773,15320,1440.0
1627495708.7911384,15440,1440.0
1627495837.8766236,15720,1440.0
1627495855.4625928,15760,1440.0
1627495991.6014786,16060,1440.0
1627496046.138959,16180,1440.0
1627496298.337191,16740,1440.0
1627497295.5149024,18920,1440.0
1627497531.585988,19440,1440.0
1627497540.661569,19460,1440.0
1627497595.687212,19580,1440.0
1627497845.5499978,20120,1440.0
1627497928.5512886,20300,1440.0
1627498372.2191393,21280,1440.0
1627498399.0660107,21340,1440.0
1627498646.2135596,21880,1440.0
1627498747.9705808,22100,1440.0
1627499265.2081947,23240,1440.0
1627499437.745802,23620,1440.0
1627500172.8575912,25240,1440.0
1627500670.5705178,26340,1440.0
1627500698.1918297,26400,1440.0
1627500826.6260521,26680,1440.0
1627500863.0121949,26760,1440.0
1627501300.981469,27720,1440.0
1627501364.955785,27860,1440.0
1627501564.419782,28300,1440.0
1627501673.5371304,28540,1440.0
1627501763.839745,28740,1440.0
1627502034.936552,29340,1440.0
1627502134.4927797,29560,1440.0
1627502261.4884198,29840,1440.0
1627502557.2243583,30480,1440.0
