Wall time,Step,Value
1629795176.6436732,120,3604.12744140625
1629795306.0180764,380,5001.46435546875
1629795365.3761194,500,4165.923828125
1629795528.3054569,820,3771.22265625
1629795549.0530357,860,3950.73193359375
1629795579.5036683,920,1862.8763427734375
1629795599.4641006,960,2379.64794921875
1629795660.343136,1080,1440.0
1629795691.2517316,1140,1440.0
1629795844.2640882,1440,1440.0
1629795874.1592066,1500,1440.0
1629795925.435652,1600,1440.0
1629796008.416699,1760,1440.0
1629796078.8985662,1900,1440.0
1629796160.745239,2060,1440.0
1629796191.1393607,2120,1440.0
1629796201.211691,2140,1440.0
1629796272.4990642,2280,1440.0
1629796406.3959653,2540,1440.0
1629796540.7022493,2800,1440.0
1629796653.6407573,3020,1440.0
1629796704.7903895,3120,1440.0
1629796734.9163187,3180,1440.0
1629796827.7229621,3360,1440.0
1629796838.5995312,3380,1440.0
1629796941.7770984,3580,1440.0
1629796992.9559124,3680,1440.0
1629797013.1703026,3720,1440.0
1629797023.3939633,3740,1440.0
1629797063.8358846,3820,1440.0
1629797146.3400865,3980,1440.0
1629797227.7506983,4140,1440.0
1629797238.126812,4160,1440.0
1629797289.5889554,4260,1440.0
1629797401.1676831,4480,1440.0
1629797462.8757622,4600,1440.0
1629797513.385576,4700,1440.0
1629797543.3930442,4760,1440.0
1629797666.6353831,5000,1440.0
1629797727.6241994,5120,1440.0
1629797778.92054,5220,1440.0
1629797849.2741976,5360,1440.0
1629797889.9144046,5440,1440.0
1629797910.6310472,5480,1440.0
1629798104.3787751,5860,1440.0
1629798155.6771898,5960,1440.0
1629798165.7236292,5980,1440.0
1629798217.325431,6080,1440.0
1629798267.9841614,6180,1440.0
1629798288.773551,6220,1440.0
1629798370.177801,6380,1440.0
1629798380.531294,6400,1440.0
1629798452.64093,6540,1440.0
1629798493.4955323,6620,1440.0
1629798585.5067258,6800,1440.0
1629798666.6966374,6960,1440.0
1629798832.0003185,7280,1440.0
1629798873.3633084,7360,1440.0
1629798935.0483553,7480,1440.0
1629798976.4384036,7560,1440.0
1629798996.6239634,7600,1440.0
1629799427.0287488,8440,1440.0
1629799437.45697,8460,1440.0
1629799457.8335547,8500,1440.0
1629799519.5885224,8620,1440.0
1629799612.0299034,8800,1440.0
1629799632.3998826,8840,1440.0
1629799642.1006646,8860,1440.0
1629799672.5916233,8920,1440.0
1629799734.4199617,9040,1440.0
1629799826.9600115,9220,1440.0
1629799858.1771603,9280,1440.0
1629799868.7575119,9300,1440.0
1629799971.7396252,9500,1440.0
1629800147.0189657,9840,1440.0
1629800167.4559567,9880,1440.0
1629800313.195201,10160,1440.0
1629800364.2764456,10260,1440.0
1629800384.3489583,10300,1440.0
1629800415.5568879,10360,1440.0
1629800497.600424,10520,1440.0
1629800558.981052,10640,1440.0
1629800579.4285822,10680,1440.0
1629800609.994215,10740,1440.0
1629800670.9016426,10860,1440.0
1629800721.4454358,10960,1440.0
1629800823.7109091,11160,1440.0
1629800884.3091557,11280,1440.0
1629800945.3588147,11400,1440.0
1629800986.297085,11480,1440.0
1629801047.193826,11600,1440.0
1629801067.7620482,11640,1440.0
1629801078.2786853,11660,1440.0
1629801099.4654336,11700,1440.0
1629801120.1447127,11740,1440.0
1629801130.059579,11760,1440.0
1629801180.6352413,11860,1440.0
1629801191.0938652,11880,1440.0
1629801283.7398505,12060,1440.0
1629801345.5707948,12180,1440.0
1629801366.431847,12220,1440.0
1629801417.2033958,12320,1440.0
1629801468.7076478,12420,1440.0
1629801488.9918396,12460,1440.0
1629801612.8742983,12700,1440.0
1629801683.992023,12840,1440.0
1629801693.9112015,12860,1440.0
1629801714.0214121,12900,1440.0
1629801735.0272048,12940,1440.0
1629801745.439614,12960,1440.0
1629801765.9933116,13000,1440.0
1629801887.2166717,13240,1440.0
1629801917.6714563,13300,1440.0
1629801957.6090329,13380,1440.0
1629801988.2982974,13440,1440.0
1629802019.1184583,13500,1440.0
1629802060.242804,13580,1440.0
1629802070.4447427,13600,1440.0
1629802110.3458993,13680,1440.0
1629802161.1858218,13780,1440.0
1629802272.6133149,14000,1440.0
1629802313.3255284,14080,1440.0
1629802344.5187807,14140,1440.0
1629802425.9458246,14300,1440.0
1629802466.1000688,14380,1440.0
1629802496.3697271,14440,1440.0
1629802506.7663236,14460,1440.0
1629802516.9154112,14480,1440.0
1629802587.8700256,14620,1440.0
1629802649.1725087,14740,1440.0
1629802669.6625803,14780,1440.0
1629802680.2293437,14800,1440.0
1629802721.4184022,14880,1440.0
1629802761.9057145,14960,1440.0
1629802802.656451,15040,1440.0
1629802812.8717065,15060,1440.0
1629802853.5465014,15140,1440.0
1629802945.4229171,15320,1440.0
1629802986.8132126,15400,1440.0
1629802996.9317534,15420,1440.0
1629803006.9626744,15440,1440.0
1629803027.1136134,15480,1440.0
1629803037.78165,15500,1440.0
1629803099.2529323,15620,1440.0
1629803140.0903766,15700,1440.0
1629803150.4856012,15720,1440.0
1629803171.1024933,15760,1440.0
1629803191.318496,15800,1440.0
1629803221.6548474,15860,1440.0
1629803231.480887,15880,1440.0
