Wall time,Step,Value
1629744102.5382903,120,3019.57373046875
1629744239.0652533,380,4484.9248046875
1629744301.0892937,500,1778.58203125
1629744460.860188,820,1702.27685546875
1629744479.4536262,860,3366.698486328125
1629744509.56469,920,3411.63623046875
1629744531.0629423,960,3205.0390625
1629744596.39627,1080,1440.003662109375
1629744629.5677054,1140,1440.0
1629744797.6792364,1440,1440.0
1629744832.2124915,1500,1440.0
1629744887.6665566,1600,1440.0
1629744977.283172,1760,1440.0
1629745054.5323668,1900,1440.0
1629745143.6860495,2060,1440.0
1629745178.6212444,2120,1440.0
1629745189.8969216,2140,1440.0
1629745269.010918,2280,1440.0
1629745414.1405237,2540,1440.0
1629745559.2294676,2800,1440.0
1629745683.513555,3020,1440.0
1629745738.5824542,3120,1440.0
1629745772.050916,3180,1440.0
1629745873.90399,3360,1440.0
1629745885.1501338,3380,1440.0
1629745998.648002,3580,1440.0
1629746053.043781,3680,1440.0
1629746075.1852615,3720,1440.0
1629746086.1939735,3740,1440.0
1629746131.244125,3820,1440.0
1629746221.6651862,3980,1440.0
1629746309.8345401,4140,1440.0
1629746321.6814778,4160,1440.0
1629746377.7364075,4260,1440.0
1629746499.4882884,4480,1440.0
1629746566.130824,4600,1440.0
1629746621.155421,4700,1440.0
1629746654.5692513,4760,1440.0
1629746788.051407,5000,1440.0
1629746855.8911548,5120,1440.0
1629746910.3000073,5220,1440.0
1629746987.3982773,5360,1440.0
1629747031.8166761,5440,1440.0
1629747055.3134365,5480,1440.0
1629747267.8533223,5860,1440.0
1629747324.1717248,5960,1440.0
1629747335.2594209,5980,1440.0
1629747390.1455314,6080,1440.0
1629747446.88834,6180,1440.0
1629747470.169784,6220,1440.0
1629747560.719134,6380,1440.0
1629747571.6212764,6400,1440.0
1629747649.512994,6540,1440.0
1629747694.1755083,6620,1440.0
1629747794.8080287,6800,1440.0
1629747884.2206976,6960,1440.0
1629748064.4000602,7280,1440.0
1629748109.338618,7360,1440.0
1629748177.439085,7480,1440.0
1629748223.551128,7560,1440.0
1629748245.2801845,7600,1440.0
1629748713.4765568,8440,1440.0
1629748724.9194238,8460,1440.0
1629748747.275203,8500,1440.0
1629748812.643907,8620,1440.0
1629748914.4641156,8800,1440.0
1629748936.9393058,8840,1440.0
1629748947.7051544,8860,1440.0
1629748982.3289683,8920,1440.0
1629749046.253349,9040,1440.0
1629749140.029087,9220,1440.0
1629749170.977789,9280,1440.0
1629749181.051351,9300,1440.0
1629749283.0222747,9500,1440.0
1629749456.9103558,9840,1440.0
1629749477.4171948,9880,1440.0
1629749622.3346233,10160,1440.0
1629749672.7172704,10260,1440.0
1629749693.1455107,10300,1440.0
1629749724.025401,10360,1440.0
1629749804.9253428,10520,1440.0
1629749866.4212322,10640,1440.0
1629749886.1885033,10680,1440.0
1629749916.3899145,10740,1440.0
1629749977.1402202,10860,1440.0
1629750027.0328188,10960,1440.0
1629750128.6406145,11160,1440.0
1629750188.9487872,11280,1440.0
1629750249.0490189,11400,1440.0
1629750290.8822105,11480,1440.0
1629750351.257468,11600,1440.0
1629750371.771119,11640,1440.0
1629750381.6936023,11660,1440.0
1629750401.6414084,11700,1440.0
1629750421.32228,11740,1440.0
1629750431.4529982,11760,1440.0
1629750482.8880675,11860,1440.0
1629750493.1651797,11880,1440.0
1629750582.0321126,12060,1440.0
1629750643.325986,12180,1440.0
1629750662.7233198,12220,1440.0
1629750713.012073,12320,1440.0
1629750762.7967741,12420,1440.0
1629750782.945882,12460,1440.0
1629750903.6654077,12700,1440.0
1629750974.9302135,12840,1440.0
1629750985.3483577,12860,1440.0
1629751006.1567276,12900,1440.0
1629751026.2927961,12940,1440.0
1629751036.4428163,12960,1440.0
1629751057.0510201,13000,1440.0
1629751177.8217282,13240,1440.0
1629751207.6084461,13300,1440.0
1629751248.2602031,13380,1440.0
1629751279.1876433,13440,1440.0
1629751309.7636354,13500,1440.0
1629751350.3090928,13580,1440.0
1629751360.512205,13600,1440.0
1629751401.5109875,13680,1440.0
1629751452.0172708,13780,1440.0
1629751563.33106,14000,1440.0
1629751604.1366217,14080,1440.0
1629751634.9789472,14140,1440.0
1629751717.4748864,14300,1440.0
1629751758.062139,14380,1440.0
1629751788.260542,14440,1440.0
1629751798.1702197,14460,1440.0
1629751808.2503343,14480,1440.0
1629751879.5205455,14620,1440.0
1629751939.6642115,14740,1440.0
1629751959.7721095,14780,1440.0
1629751969.5891593,14800,1440.0
1629752010.5630527,14880,1440.0
1629752051.1482184,14960,1440.0
1629752091.8840015,15040,1440.0
1629752101.8433006,15060,1440.0
